;alpha;beta;r2;se_beta;res_vol
2016-01-31;-0.0016399325374021625;1.1940896624864465;0.6438609909570241;0.046611957541652316;0.028676536292232883
2016-02-29;-0.0021290942398422517;1.1679377238975268;0.6241365473946383;0.0475709271650446;0.02883979236380316
2016-03-31;-0.0026967710734142696;1.1950132685772987;0.6291975670652834;0.04815009907344888;0.027350199050383554
2016-04-30;-0.001359492898953888;1.1558616004751028;0.5903690167011084;0.050534403527019205;0.027886294412164864
2016-05-31;-0.0009324850903949688;1.1236854293130987;0.5540049165788534;0.05291754198477167;0.02826786561137656
2016-06-30;-0.002272866826376109;1.0945284117468304;0.5909958953979758;0.047790913051209444;0.027647532152148057
2016-07-31;-0.001722145117822522;0.7784815576526328;0.5051381781055626;0.0404419319516091;0.021631001398997513
2016-08-31;-0.001514692674764026;0.7195038613383314;0.48164179350614367;0.03917713952473321;0.02093914867512604
2016-09-30;-0.0013595049520061864;0.7060167620560691;0.4702359272789354;0.0393319109296114;0.02042644565823207
2016-10-31;-0.0005086645499910456;0.683124423575681;0.4422412600977724;0.04026614592036964;0.020342104737645524
2016-11-30;-0.0003432057489984482;0.6406806805766447;0.4002559906435721;0.04116255790655622;0.019153288210711227
2016-12-31;7.353229879793526e-05;0.6636861875898832;0.35385622465481237;0.04707178088503262;0.019911380931674015
2017-01-31;-0.0005012133446545277;0.8037520761907528;0.504382871549364;0.04181785803118299;0.020249205511968908
2017-02-28;-0.0005314025211917319;0.8072851242038059;0.5193797181198521;0.040759813769341714;0.019951118728186064
2017-03-31;-0.0010211212687395441;0.7763754854189063;0.44201307623493813;0.04578391781475731;0.023372768148395704
2017-04-30;-0.00021891843008130075;0.7535510183076652;0.3771680341777661;0.050824996381503056;0.025678062594292603
2017-05-31;-0.0010889986081395683;0.7529902157915631;0.37521355741520546;0.05099910540692808;0.029258465022418672
2017-06-30;-0.000677010294092752;0.7837606220599115;0.4092163049880432;0.04942741669190059;0.029918738763776466
2017-07-31;0.0012139103441095292;0.7344048993470682;0.48857296522327265;0.039437500111745544;0.029659292991212154
2017-08-31;0.0015946935913212596;0.7325334182951382;0.46984867097766536;0.04084087662711165;0.030582266163320604
2017-09-30;0.0005593363091278418;0.8464123429701234;0.6303848482552642;0.034017365429656894;0.031358177797063326
2017-10-31;0.0011521474102103243;0.8479379080453624;0.6071748442635605;0.03579756608081093;0.03230311246216094
2017-11-30;0.0009131341694860131;0.8269320602620679;0.5712579287031676;0.03760091798111129;0.03386618918727113
2017-12-31;0.000767358327896951;0.8754247762348255;0.650246144912795;0.033698291545190176;0.03395182159874173
2018-01-31;0.0001672303302148395;0.9135080828859505;0.729397519293779;0.029204032813690568;0.033913143886376104
2018-02-28;-0.00039926885648254205;0.9511736565513507;0.7868477472029363;0.025984006237154984;0.03421416067248078
2018-03-31;-0.0003362083557617338;0.9695450845616419;0.8215913865451994;0.023713445840434413;0.031729961550006854
2018-04-30;-0.00017314990865404151;0.9768796004656948;0.8532462463166881;0.02126400884056857;0.029389912790491815
2018-05-31;-4.2925902275155555e-06;0.9903061067098666;0.8859551076553128;0.018648684701396474;0.024750089557131108
2018-06-30;-0.000280358752990605;0.9971362138603745;0.9038035810953912;0.017074327222091602;0.022833506251944996
2018-07-31;-0.0009557373359736308;1.026137857192676;0.9222445508288598;0.01563848817687185;0.0198357075587704
2018-08-31;-0.0007314731810066343;1.0503160823303577;0.9349116124023493;0.014545651644276725;0.018250072964721274
2018-09-30;-0.0010026472210136576;1.0508504922494533;0.9381751931272417;0.014158819034571241;0.01749240243240681
2018-10-31;-0.0010188669281835322;1.050237763279622;0.9504556936301303;0.01258534877515241;0.015220905162163685
2018-11-30;-0.0008680541524427383;1.0619597162661174;0.9765043781610985;0.008645917849291229;0.009883746089090914
2018-12-31;-0.0007291994215952222;1.0602384719254634;0.9837313696660485;0.007156282588004458;0.007050410753254601
2019-01-31;-0.0006293008546199967;1.061605056630992;0.9835617950979175;0.007203375183373203;0.006490661642865719
2019-02-28;-0.0005723191422591884;1.0496397142226794;0.9822331659569669;0.0074094277487510565;0.0063177828589126165
2019-03-31;-0.00021239949418989324;1.0503698451830341;0.9800570881340137;0.00786425397758131;0.006290955208235971
2019-04-30;-0.0005473737069987598;1.050072220337734;0.978236997783766;0.00822059434386941;0.006301391658379835
2019-05-31;-0.000825379215390887;1.0394978870205263;0.9744737474388102;0.008830367077072732;0.006727674134723808
2019-06-30;-0.0010807916874574293;1.0253284824306297;0.9685052731806824;0.009704599948847323;0.007320053257028771
2019-07-31;-0.0010964820905828227;1.0222310306623652;0.971236356239354;0.009233263567565365;0.007397543932983499
2019-08-31;-0.0013410261114225567;1.0095158654956844;0.9704477571289484;0.009246321275515782;0.00670838782231848
2019-09-30;-0.0011471933593927642;1.017886383250925;0.9707637170908429;0.009271506391333608;0.0066876842204101955
2019-10-31;-0.0009686686395871012;1.009949303199084;0.9695867241815317;0.009388247525763728;0.006830637238639514
2019-11-30;-0.00026654863964000754;0.983612425975483;0.9509121692240274;0.0117297136951727;0.007716808136338614
2019-12-31;-0.0007030216356920953;0.9686895068538993;0.9330744785987111;0.013616610323436858;0.008352465044535127
2020-01-31;-0.0004797134292364714;0.9533300681493376;0.9341834265969418;0.013281328948002463;0.008563421006848235
2020-02-29;-0.0005001005173768849;0.9710836520125677;0.940384879043297;0.012833015727390248;0.008618590953510861
2020-03-31;-0.0007044117862387078;0.9950082421149069;0.9744909127591672;0.008449517863108087;0.008524482836198858
2020-04-30;-0.0005993425398272166;0.992804018963135;0.9753103854247662;0.008290790570996527;0.008412409195224476
2020-05-31;-0.00044973960853668713;0.9905774668709241;0.9746635532775744;0.008382636283913305;0.008154525934835096
2020-06-30;-0.00024196663883764097;0.9925585515485408;0.975485805617383;0.008258499722057899;0.007759542811488973
2020-07-31;-0.0001401831948589663;0.9915471136895844;0.9729382034027341;0.008679520365586902;0.00774178939537349
2020-08-31;9.355860160334391e-05;0.9983192152888983;0.9733946131078971;0.008662763100486191;0.007615903991701771
2020-09-30;-3.402347701378401e-05;1.0114551101946652;0.9743496907552224;0.008613549965057577;0.007665593457700486
2020-10-31;0.0001059090552280771;1.0182887062295722;0.9115240120892081;0.016651228019370936;0.011287492841252257
2020-11-30;-0.00013599717930267116;1.0229775036952173;0.9210291535280335;0.015722061062469685;0.010391051379437594
2020-12-31;-0.0005369971587355047;1.0196485191278657;0.9032086843645172;0.01751948455322256;0.01168636054716437
2021-01-31;-0.00017318638558671488;0.9755295924962648;0.8852216700056741;0.01843703448581726;0.013056550582587114
2021-02-28;-0.00011715515069220043;0.9750262526591535;0.887969942203308;0.018177374052676897;0.013700548037665109
2021-03-31;0.00037055987324906194;0.9522002586306557;0.8565893842113936;0.020449339679871694;0.014046080978585784
2021-04-30;7.757983699882132e-05;0.9818687104651639;0.861404821144504;0.020671429970459582;0.014747302717858096
2021-05-31;-0.00042085239782284383;1.0463089650323945;0.9242063252697625;0.01572673784828247;0.015538980204905087
2021-06-30;-0.0006647320913870488;1.0613551703879327;0.9287637120277423;0.01542785144969961;0.016178261554225786
2021-07-31;-0.0007274117741164415;1.0575849226286245;0.9288055458834916;0.01536818643605151;0.016312522784551708
2021-08-31;-0.0008493896781703959;1.040470577275849;0.9139298628990609;0.01675893067076263;0.017327664786891826
2021-09-30;-0.0008955934163368416;1.048185669393239;0.9215673244455751;0.016049809667031796;0.017459434715656606
2021-10-31;-0.0010685900285916788;1.049925820040042;0.9276156588620584;0.01539371992985381;0.015668408747188136
2021-11-30;-0.0010638898104989502;1.0513946732975192;0.9292517495831011;0.015226623816547631;0.015482738591172792
2021-12-31;-0.0008724946445746115;1.0558618029869873;0.9371177749165253;0.014355576213763876;0.014645955019492446
2022-01-31;-0.0008300223187001229;1.0704436964864235;0.9440653323238478;0.013675714405202797;0.01332374088756305
2022-02-28;-0.0009696166256587084;1.0685607491409215;0.9504203873145239;0.01280971885173035;0.012611404967596315
2022-03-31;-0.0009261667410378423;1.0699666150281808;0.954255750361663;0.012295686336607272;0.012063972326563971
2022-04-30;-0.0010569968786630173;1.0686399033661795;0.9575469661151566;0.01181006799983562;0.011383689756396085
2022-05-31;-0.00263211676782054;1.123751545555285;0.864404925287622;0.02336040298938958;0.01693463277535589
2022-06-30;-0.0019792760421521423;1.095313144404219;0.869628560275169;0.02225918815635187;0.016636418722764796
2022-07-31;-0.0019945444086345364;1.0826763499787209;0.8780452509928033;0.021178063532890166;0.01650927387412637
2022-08-31;-0.0016173931959630825;1.082233615145894;0.8879298480201034;0.02018010212461117;0.015359907028263458
2022-09-30;-0.0016512010565017845;1.0710901431964448;0.8864238018814586;0.020123136313726687;0.015339277374808943
2022-10-31;-0.0010767496449712792;1.0942124302908978;0.637592350874157;0.043298760107617205;0.026098559605087033
2022-11-30;-0.0013228843568694655;1.0706616339739965;0.6811910536834778;0.03844410105034632;0.02622170778895963
2022-12-31;-0.0014556552644961662;1.071354195510708;0.6824266254519029;0.03835957816823228;0.026180092509566204
2023-01-31;-0.001304107190184886;1.0614295756616636;0.6811961154556281;0.03811216263181212;0.026304705743774803
2023-02-28;-0.0008607393280092351;1.061264446221002;0.6841618812411676;0.03784627475477543;0.026378702478216533
2023-03-31;-0.001251325107412299;1.0479359272928608;0.6962268886542228;0.036331278928835586;0.026452520089753212
2023-04-30;-0.0013623933103333096;1.0378098171459897;0.6877209944822844;0.0367053791607515;0.02664573741293975
2023-05-31;-0.0008606003169460834;0.9968597404608944;0.6840691723613374;0.03555713308099378;0.0229093107770912
2023-06-30;-0.000974432284686179;1.0023724003391117;0.6847322317739122;0.03569892908176082;0.022896862775363253
2023-07-31;0.0005711163596065053;1.0311115916340345;0.5151669387569293;0.05250183444705119;0.027625779071082778
2023-08-31;0.00013874022664584558;1.0248785547107353;0.5141718124274945;0.05228851589703894;0.027849467125123765
2023-09-30;0.00014841411159486226;1.0286716003675538;0.5094717797382462;0.05297797691750767;0.02781434753301827
2023-10-31;4.5130930116613595e-05;1.0051040644466191;0.6176382852899269;0.0415076181374876;0.017833464823468884
2023-11-30;0.0004846291940879466;0.9957837429032892;0.5973790668244303;0.042907666331760526;0.01775844314999109
2023-12-31;0.00019677791343640088;0.9744401146017405;0.5934991023886871;0.04232749459115081;0.018141791414817747
2024-01-31;-0.00010159051302829325;0.9951735169881629;0.6505408369886445;0.03828304130085013;0.017840643416961694
2024-02-29;-0.0003951356210694877;0.9889556928916817;0.6555967193484512;0.037621731214608614;0.01774142258923299
2024-03-31;-0.00040891640067474306;0.9985255781696109;0.7309403211107927;0.03179722585180835;0.0177427851484192
2024-04-30;-0.00043161873532227186;1.010222111477712;0.7750684241171123;0.028563981840640545;0.017653638727867918
2024-05-31;-0.0006221187374757644;0.9934222027656505;0.7875621166011204;0.027080340688199978;0.017727140072070297
2024-06-30;-0.0008014536392287038;0.9983194182296942;0.7978623661088915;0.026373988027760146;0.01760028140697962
2024-07-31;-0.001205835758309742;0.9863492232085381;0.926174566553841;0.014616182994066047;0.008252829961314836
2024-08-31;-0.0010447838798203126;0.979514724211846;0.938974269237389;0.01310651729275529;0.007644450080222101
2024-09-30;-0.0009423108453940066;0.9787709440405928;0.9437962428979683;0.012536355750796663;0.007509301502138024
2024-10-31;-0.0012436404771413486;0.9849397924135161;0.9464483094649487;0.012296868077679355;0.007404421901334772
2024-11-30;-0.0010849542645620838;0.9921639975284675;0.9424075629411752;0.012873406946177586;0.007541961875954583
2024-12-31;-0.0011658447614177753;1.0201890390438013;0.9541420222439257;0.011738923665814667;0.006693010036215189
2025-01-31;-0.001675890551098695;0.9388501440770142;0.6468201802120173;0.03641238487472125;0.016607185174494683
2025-02-28;-0.0011523827867049024;0.9346074976523563;0.6109515257164689;0.03914483164693612;0.018804911706514636
2025-03-31;-0.0007297299163140753;0.9403447344609958;0.5627765080459645;0.04350283384821156;0.022481987802478114
2025-04-30;-0.000813648723967741;0.9249508532479489;0.4368962698429776;0.05511507193291664;0.02829497304229712
2025-05-31;-0.0009660845249289733;0.9254797318245979;0.3763928018555708;0.06252425197042143;0.032520329030920926
2025-06-30;-0.0013909757412532235;0.9216877590893904;0.3806239102300256;0.06171058904001884;0.03288954058675927
2025-07-31;-0.0008319378626888795;0.9192709772210632;0.370038520119915;0.06295406324752205;0.03404138588819901
2025-08-31;-0.0014541594841166025;0.9165250562394307;0.34735039117449795;0.0659397315431522;0.03628962299469717
2025-09-30;-0.0012693312453804354;0.9203567501167409;0.3595955313651209;0.06446484208158756;0.03629427191668437
2025-10-31;-0.0013130108345171963;0.9588565812006137;0.4285463894346958;0.05811549097371267;0.036344854740577096
2025-11-30;-0.0011918546935833678;0.9735997035862943;0.456935911334697;0.055708955692710636;0.036281444505878745
2025-12-31;-0.0011725304052143514;0.9743460707715601;0.46996012893288297;0.05431048589772788;0.03625822961867303
2026-01-31;-0.000838801055415213;0.9991170438711003;0.535614649307752;0.04882880405337187;0.03293337781075036
