window;estimator;gamma_0;gamma_beta;se_gamma_nw;se_gamma_ols;nw_lags;r_squared;rmse;mae;mape;smape;cev_bias;n_obs
30;ols;0.5032203013211454;0.4823031081036181;0.13837375775743654;0.07751858602937603;1;0.22944912348142443;0.28457015167195304;0.16737444799381707;0.20766496831079376;0.18104055613575268;0.21265924259956293;132
30;sw;0.3856016950941672;0.6063324732459174;0.15864463332717677;0.0874667619476765;1;0.26988714592462326;0.25688318799496546;0.15780200937168593;0.19931086579083196;0.17574606725279684;0.1392566639704893;132
30;vck;0.5032203013211454;0.4823031081036181;0.13837375775743654;0.07751858602937603;1;0.22944912348142443;0.28457015167195304;0.16737444799381707;0.20766496831079376;0.18104055613575268;0.21265924259956293;132
30;vr;0.8284504364900664;0.23534936310362808;0.07451918286114227;0.06933577519334519;1;0.08141205085023773;0.5044946016671762;0.3966012285406711;0.4041671648826908;0.569412990286692;0.20251013326173473;132
30;wls;0.4673463043467538;0.5169154666699387;0.14091343574470822;0.07634509950117635;1;0.2607057895739182;0.27519006296158816;0.16248382026921535;0.2006326844056171;0.17517843008967005;0.22435926745743384;132
90;ols;0.7407909607263817;0.254441616437492;0.09059971472026285;0.08142644191114419;4;0.07245530810478085;0.2579927137027266;0.14934315621629876;0.16188606762763783;0.15368279435050733;0.10139079004430651;127
90;sw;0.7052345598755079;0.29164063154311803;0.10435869856016866;0.09025784237294855;4;0.0770863072336323;0.24334474843777174;0.14040965837528796;0.15370578764370468;0.14612423201610955;0.06520464752047339;127
90;vck;0.7407909607263817;0.254441616437492;0.09059971472026285;0.08142644191114419;4;0.07245530810478085;0.2579927137027266;0.14934315621629876;0.16188606762763783;0.15368279435050733;0.10139079004430651;127
90;vr;0.9039766109021015;0.13499547030828574;0.10137339544955708;0.059057455411042833;4;0.04012309805590186;0.47371855433174587;0.38350916591676;0.38256019431966376;0.5236832553172182;0.0745332795837419;127
90;wls;0.7231977915997623;0.2724651767389412;0.08250720185632021;0.0791183399495138;4;0.08665479787131791;0.2564632744370948;0.14678880378656248;0.16029340146843923;0.15181793159822285;0.1009442420137463;127
180;ols;0.8258692152944341;0.150111660789505;0.09659136635228624;0.0674465725635692;8;0.03964247731700732;0.19269840714411535;0.11877147243497398;0.13948771487720377;0.12732206557406148;0.07281795732246477;122
180;sw;0.8045615724894059;0.17271160329000815;0.10081967770112144;0.07307619551359697;8;0.04447852527002771;0.18074057927584972;0.111651504624377;0.13226020436594535;0.12158838395305725;0.04538875085367189;122
180;vck;0.8258692152944341;0.150111660789505;0.09659136635228624;0.0674465725635692;8;0.03964247731700732;0.19269840714411535;0.11877147243497398;0.13948771487720377;0.12732206557406148;0.07281795732246477;122
180;vr;0.8534326919003045;0.1849946459816888;0.07688411098723015;0.036484477880807574;8;0.1764463564156814;0.4105999244786258;0.35112078713381334;0.3659906249219397;0.49258565477669886;0.03767447850070327;122
180;wls;0.7725215427510234;0.20394088691514958;0.07225391897444469;0.06550550775207539;8;0.07473720084003088;0.18521168327024232;0.11835819288254092;0.1377347815472551;0.1268219111396652;0.07434208868582537;122
365;ols;1.031827965545768;-0.04955567772496975;0.17623239133007026;0.0722062936902602;16;0.004382736630919037;0.15349199045743095;0.09831195755296582;0.10984513583269608;0.10280519451502823;0.05842252940617032;109
365;sw;0.9947503982381594;-0.012220084263565481;0.17382084162133796;0.07618234307272155;16;0.00024040945890135834;0.14497487817287907;0.09355303279728466;0.10411732268826768;0.09876058950597667;0.0355717018434748;109
365;vck;1.031827965545768;-0.04955567772496975;0.17623239133007026;0.0722062936902602;16;0.004382736630919037;0.15349199045743095;0.09831195755296582;0.10984513583269608;0.10280519451502823;0.05842252940617032;109
365;vr;0.9035010741091735;0.11957330350049493;0.07877220275497145;0.029339792780838897;16;0.13437015418862464;0.4088961746432912;0.33385487958498855;0.344423891786294;0.4721326392949915;0.017466200988950464;109
365;wls;0.8701864805964677;0.11420040273957231;0.14126542667082662;0.07547462217441071;16;0.02094860408816135;0.13330305968924946;0.08814948226609033;0.09776486008168586;0.09366263650298283;0.06302795630138647;109
