window;estimator;diagonal_mean;off_diagonal_mean;extreme_stickiness;interpretation
30;ols;0.0;0.0;0.0;UNSTABLE
30;sw;0.0;0.0;0.0;UNSTABLE
30;vck;0.0;0.0;0.0;UNSTABLE
30;vr;0.0;0.0;0.0;UNSTABLE
30;wls;0.0;0.0;0.0;UNSTABLE
90;ols;0.0;0.0;0.0;UNSTABLE
90;sw;0.0;0.0;0.0;UNSTABLE
90;vck;0.0;0.0;0.0;UNSTABLE
90;vr;0.0;0.0;0.0;UNSTABLE
90;wls;0.0;0.0;0.0;UNSTABLE
180;ols;0.0;0.0;0.0;UNSTABLE
180;sw;0.0;0.0;0.0;UNSTABLE
180;vck;0.0;0.0;0.0;UNSTABLE
180;vr;0.0;0.0;0.0;UNSTABLE
180;wls;0.0;0.0;0.0;UNSTABLE
365;ols;0.0;0.0;0.0;UNSTABLE
365;sw;0.0;0.0;0.0;UNSTABLE
365;vck;0.0;0.0;0.0;UNSTABLE
365;vr;0.0;0.0;0.0;UNSTABLE
365;wls;0.0;0.0;0.0;UNSTABLE
