window;estimator;gamma_0;gamma_beta;se_gamma_nw;se_gamma_ols;nw_lags;r_squared;rmse;mae;mape;smape;cev_bias;n_obs
30;ols;0.7626500213156466;0.2462706091708294;0.08966383406938945;0.01774500622633735;1;0.06427513784107675;0.8513665688246225;0.31299125620716955;1542.0315138139258;0.3124260012382841;0.4364519644943021;2806
30;sw;0.4045049028991772;0.6010717721234619;0.037554542282464;0.032026522599454946;1;0.11159987206141708;0.6647573147648057;0.28296287201302206;328.0253515212259;0.30371541405836855;0.11225551804535827;2806
30;vck;0.39274710607778646;0.6088039802748505;0.03798083333739665;0.03261130667950324;1;0.11037569821312143;0.6657433933291768;0.2810120573117157;621.1909416963452;0.29873180269700794;0.7374887455461323;2811
30;vr;0.7877184105105074;0.3028612980778044;0.07536081130544249;0.02370879489144633;1;0.05490266181269754;0.8130085943772137;0.4421034337048824;1021.7328053177727;0.523686094007438;0.5819000769144073;2811
30;wls;0.7729495199697543;0.23511449423419042;0.10559540910369049;0.017659495542936644;1;0.05945698367467167;0.8602118277538585;0.31300477625700646;1181.272979668028;0.31405871604241675;0.45624594201730073;2806
90;ols;0.585286058229368;0.422869928327512;0.06868584235335581;0.01649962972095561;4;0.19649364749785503;0.45560734644809614;0.2341507014442217;176.41245341893085;0.25540628218135175;0.3424616232328951;2688
90;sw;0.3365352482540653;0.6701576904589975;0.038372989087609256;0.021817878366893542;4;0.2599474360627575;0.3775457300764663;0.21248411038301812;192.0953304918464;0.24117908818366937;0.0553098065206008;2688
90;vck;0.33029403821924147;0.6706991411836096;0.03915398552962088;0.021211066512714163;4;0.2711180444412358;0.37793643109455816;0.21614445037499996;199.13930315981077;0.2449513767146766;0.4853153455999434;2690
90;vr;0.7367778125783424;0.36172426620754194;0.06250840733094525;0.018832638585079338;4;0.12068374580661334;0.5371692458664851;0.38339413496775604;144.79183374376044;0.46518001184263036;0.38352334351434847;2690
90;wls;0.5879808935442057;0.42001339583428055;0.06908202332502428;0.015982051366717587;4;0.20453824874288373;0.45870735786912353;0.2344864721690864;133.81036208751752;0.2543122580087217;0.3424682932952624;2688
180;ols;0.47889909148056115;0.5268095487536635;0.09629245477387766;0.017380794109765056;8;0.2684897057648852;0.3588408104250266;0.20086067006115813;0.3971082176327895;0.22829419981773363;0.23023924391411987;2505
180;sw;0.26907450565326824;0.7378663937380965;0.044888174684220475;0.021124055413722188;8;0.3277135374714093;0.31136046238029746;0.1867439576999293;0.3578762397027894;0.21696241174532932;0.03516184580289383;2505
180;vck;0.2968186465595876;0.7041420427877914;0.05195661991708711;0.02049375693720157;8;0.3204889516613274;0.316204306114927;0.19168023115305804;0.3931409213495465;0.22204916531951338;0.3100299036412114;2505
180;vr;0.7104410291182417;0.39271278061997084;0.07977867595026802;0.019015856078193234;8;0.1455877756979541;0.47158895893225433;0.3587967319941627;0.4838057852756983;0.44147924748594525;0.23792621940476666;2505
180;wls;0.49703449432402885;0.5086847801049769;0.09462056652007754;0.016903560264684668;8;0.2656830364948781;0.36522630757144536;0.20151737704143577;0.40893900826118884;0.22810163422951962;0.23401060171280197;2505
365;ols;0.24221892335832362;0.7640550599948854;0.06366997427063542;0.020451117375615908;16;0.39813583051599144;0.25690243002893104;0.16060576017843795;0.1926390921973389;0.18107803693905514;0.17998105500300654;2112
365;sw;0.13520161841037182;0.8782300430018053;0.049170205864789804;0.021425427002416998;16;0.44329922824857315;0.2417880084292187;0.15220437352032884;0.18288402229418188;0.17060658551331143;0.023419241639193067;2112
365;vck;0.16175769866417777;0.8434777174750595;0.053854899015961244;0.021043150239959705;16;0.4322869576274132;0.24514687877040414;0.15646673532378888;0.19153475105055764;0.17752585469083973;0.19772295984412858;2112
365;vr;0.6307757028090193;0.4948656661919428;0.08040568355853422;0.021573925093918516;16;0.19959279064577862;0.3995773096056497;0.3094831266124415;0.31761133828751575;0.3810465291889197;0.1575329564038792;2112
365;wls;0.30444962735292264;0.7025994269595067;0.0715976202635283;0.01990609140281781;16;0.3712353136343183;0.2677997106356995;0.16163304529060146;0.19838596840946943;0.18232626465884944;0.16663735498426469;2112
